method,scenario,n,CumulativeUtility_mean,AverageSlateUtility_mean,ClickRate_mean,LeaveRate_mean,AverageSessionLength_mean,SlateDiversity_mean,CategoryCoverage_mean,InstructionUplift@1_mean,InstructionUplift@H_mean,OverCorrectionRegret@1_mean,OverCorrectionRegret@H_mean,DuringHorizonUtility_mean,PostExpiryRecoveryUtility_mean,PostExpirySuppressionRegret_mean,ExpiredConstraintViolationRate_mean,DriftRecoveryTurns_mean,RollbackAccuracy_mean,MemoryContaminationRate_mean,PromotionPrecision_mean,PromotionRecall_mean,ScopeClassificationAccuracy_mean,parser_scope_error_mean,memory_update_error_mean,policy_application_error_mean,candidate_coverage_error_mean
none,session_context,5,16.52,1.3766666666666667,1.0,0.0,12.0,0.9833333333333334,11.0,0.0,0.0,0.0,0.0,4.63,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
none,stable_dislike,5,16.3332,1.3611,0.9833333333333333,0.0,12.0,0.9333333333333333,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
none,temporary_fatigue,5,13.8996,1.1582999999999999,0.95,0.0,12.0,0.8500000000000001,11.0,0.0,0.0,0.0,0.0,3.1799999999999997,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
structured,behavioral_rollback,5,10.18,0.9254545454545454,0.36363636363636365,0.09090909090909091,11.0,0.8363636363636364,11.0,0.0,-0.5828000000000003,0.11759999999999984,-0.2460000000000008,3.9579999999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
structured,diversity_request,5,13.8996,1.1582999999999999,0.95,0.0,12.0,0.8500000000000001,11.0,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
structured,genuine_drift,5,14.3464,1.1955333333333333,0.8833333333333333,0.0,12.0,0.8166666666666667,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
structured,mixed_multi_turn,5,14.53,1.2108333333333332,0.9166666666666666,0.0,12.0,0.8666666666666667,11.0,0.0,-0.8147999999999989,0.0,-0.5932000000000002,2.7006,1.525,-0.14400000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
structured,session_context,5,16.35,1.3625,1.0,0.0,12.0,0.9666666666666667,11.0,0.0,-0.16999999999999993,0.0,0.009999999999999787,4.46,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
structured,stable_dislike,5,16.3332,1.3611,0.9833333333333333,0.0,12.0,0.9333333333333333,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
structured,temporary_fatigue,5,13.272,1.1059999999999999,0.8333333333333334,0.0,12.0,0.9166666666666667,11.0,0.0,-0.19480000000000058,0.0,-0.0012000000000000454,2.9852,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
time_decay,behavioral_rollback,5,14.729599999999998,1.2274666666666667,0.9833333333333333,0.0,12.0,0.8666666666666667,11.0,-0.11759999999999984,0.9031999999999998,0.0,0.0,5.443999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
time_decay,diversity_request,5,16.804,1.4003333333333334,0.9833333333333333,0.0,12.0,0.8666666666666667,11.0,-0.562,1.0100000000000005,-0.562,1.0100000000000005,0.938,5.692,1.572000000000001,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
time_decay,genuine_drift,5,14.1824,1.1818666666666666,0.95,0.0,12.0,0.8333333333333334,11.0,0.0,0.00040000000000031124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
time_decay,mixed_multi_turn,5,14.9432,1.2452666666666667,0.9833333333333333,0.0,12.0,0.85,11.0,0.0,0.11640000000000086,0.0,0.0,3.0223999999999998,2.1899999999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
time_decay,session_context,5,16.35,1.3625,1.0,0.0,12.0,0.9666666666666667,11.0,0.0,-0.17799999999999994,0.0,0.0,4.452,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
time_decay,stable_dislike,5,16.3332,1.3611,0.9833333333333333,0.0,12.0,0.9333333333333333,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
time_decay,temporary_fatigue,5,14.473199999999999,1.2061,0.9833333333333333,0.0,12.0,0.8333333333333334,11.0,0.0,0.1663999999999998,0.0,0.0,2.9864,2.1399999999999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
