method,n,CumulativeUtility_mean,AverageSlateUtility_mean,ClickRate_mean,LeaveRate_mean,AverageSessionLength_mean,SlateDiversity_mean,CategoryCoverage_mean,InstructionUplift@1_mean,InstructionUplift@H_mean,OverCorrectionRegret@1_mean,OverCorrectionRegret@H_mean,DuringHorizonUtility_mean,PostExpiryRecoveryUtility_mean,PostExpirySuppressionRegret_mean,ExpiredConstraintViolationRate_mean,DriftRecoveryTurns_mean,RollbackAccuracy_mean,MemoryContaminationRate_mean,PromotionPrecision_mean,PromotionRecall_mean,ScopeClassificationAccuracy_mean,parser_scope_error_mean,memory_update_error_mean,policy_application_error_mean,candidate_coverage_error_mean
critiquescope,35,21.474857142857143,1.7895714285714286,0.9976190476190476,0.0,12.0,0.8523809523809524,10.857142857142858,-0.2913714285714285,-0.3640000000000001,-0.0917142857142857,0.11399999999999973,2.967428571428571,2.3485714285714283,0.19428571428571423,0.3302411873840445,0.2857142857142857,0.14285714285714285,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
flat,35,14.066914285714285,1.1722428571428571,0.8904761904761904,0.0,12.0,0.8761904761904762,11.0,-0.016799999999999978,-0.3023428571428571,0.0,0.0,2.2605142857142857,1.2054285714285713,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
none,35,14.6832,1.2236,0.9428571428571428,0.0,12.0,0.880952380952381,11.0,0.0,0.0,0.0,0.0,2.404857142857143,1.2290857142857141,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
structured,35,14.130171428571428,1.1885316017316017,0.8471861471861472,0.012987012987012988,11.857142857142858,0.8837662337662338,11.0,0.0,-0.25177142857142853,0.016799999999999978,-0.11862857142857161,2.2291142857142856,1.1935714285714285,-0.020571428571428574,0.0,0.14285714285714285,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
time_decay,35,15.402228571428571,1.2835190476190477,0.9809523809523809,0.0,12.0,0.8785714285714286,11.0,-0.09708571428571428,0.28834285714285735,-0.0802857142857143,0.14428571428571435,2.4061142857142856,1.5645714285714285,0.2245714285714287,0.0,0.14285714285714285,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
