method,n,CumulativeUtility_mean,AverageSlateUtility_mean,ClickRate_mean,LeaveRate_mean,AverageSessionLength_mean,SlateDiversity_mean,CategoryCoverage_mean,InstructionUplift@1_mean,InstructionUplift@H_mean,OverCorrectionRegret@1_mean,OverCorrectionRegret@H_mean,DuringHorizonUtility_mean,PostExpiryRecoveryUtility_mean,PostExpirySuppressionRegret_mean,ExpiredConstraintViolationRate_mean,DriftRecoveryTurns_mean,RollbackAccuracy_mean,MemoryContaminationRate_mean,PromotionPrecision_mean,PromotionRecall_mean,ScopeClassificationAccuracy_mean,parser_scope_error_mean,memory_update_error_mean,policy_application_error_mean,candidate_coverage_error_mean
critiquescope,21,21.474285714285713,1.7895238095238095,0.996031746031746,0.0,12.0,0.8523809523809524,10.857142857142858,-0.2941904761904761,-0.0731428571428572,-0.09285714285714285,0.4056190476190474,3.258285714285714,2.3485714285714283,0.19428571428571423,0.3224489795918367,0.2857142857142857,0.14285714285714285,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
flat,21,14.071523809523809,1.172626984126984,0.8968253968253969,0.0,12.0,0.8761904761904762,11.0,-0.01847619047619045,-0.30647619047619046,0.0,0.0,2.2597619047619046,1.2054285714285713,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
none,21,14.690571428571428,1.2242142857142857,0.9603174603174603,0.0,12.0,0.880952380952381,11.0,0.0,0.0,0.0,0.0,2.406285714285714,1.229238095238095,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
structured,21,14.133238095238095,1.1887871572871571,0.8535353535353535,0.012987012987012988,11.857142857142858,0.8837662337662338,11.0,0.0,-0.24799999999999997,0.01847619047619045,-0.113809523809524,2.232285714285714,1.1935714285714285,-0.020571428571428574,0.0,0.14285714285714285,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
time_decay,21,15.400761904761904,1.2833968253968253,0.9761904761904762,0.0,12.0,0.8785714285714286,11.0,-0.09990476190476189,0.285619047619048,-0.08142857142857143,0.14238095238095247,2.405,1.5638095238095238,0.22380952380952396,0.0,0.14285714285714285,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
