method,scenario,seed,parser_mode,CumulativeUtility,AverageSlateUtility,ClickRate,LeaveRate,AverageSessionLength,SlateDiversity,CategoryCoverage,InstructionUplift@1,InstructionUplift@H,OverCorrectionRegret@1,OverCorrectionRegret@H,DuringHorizonUtility,PostExpiryRecoveryUtility,PostExpirySuppressionRegret,ExpiredConstraintViolationRate,DriftRecoveryTurns,RollbackAccuracy,MemoryContaminationRate,PromotionPrecision,PromotionRecall,ScopeClassificationAccuracy,parser_scope_error,memory_update_error,policy_application_error,candidate_coverage_error,status
critiquescope,session_context,0,deterministic,21.139999999999997,1.7616666666666665,1.0,0.0,12,1.0,10,0.0,0.0,0.0,0.0,6.239999999999999,1.5599999999999998,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,genuine_drift,0,deterministic,14.361999999999998,1.1968333333333332,0.9166666666666666,0.0,12,0.8166666666666667,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,genuine_drift,0,deterministic,12.908,1.0756666666666665,0.6666666666666666,0.0,12,0.7833333333333333,11,0.0,-0.3700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,genuine_drift,0,deterministic,14.361999999999998,1.1968333333333332,0.9166666666666666,0.0,12,0.8166666666666667,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,genuine_drift,0,deterministic,14.164,1.1803333333333332,0.9166666666666666,0.0,12,0.8333333333333334,11,0.0,-0.009999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,genuine_drift,0,deterministic,23.58,1.9649999999999999,1.0,0.0,12,0.75,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,behavioral_rollback,0,deterministic,12.871999999999998,1.0726666666666667,0.9166666666666666,0.0,12,0.9,11,0.0,0.0,0.0,0.0,4.542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,behavioral_rollback,0,deterministic,11.916,0.993,0.9166666666666666,0.0,12,0.8833333333333333,11,-0.1439999999999998,-0.3639999999999999,0.0,0.0,4.178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,behavioral_rollback,0,deterministic,10.18,0.9254545454545454,0.36363636363636365,0.09090909090909091,11,0.8363636363636364,11,0.0,-0.5840000000000005,0.1439999999999998,-0.22000000000000064,3.9579999999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,behavioral_rollback,0,deterministic,14.739999999999998,1.2283333333333333,1.0,0.0,12,0.8666666666666667,11,-0.1439999999999998,0.8759999999999994,0.0,0.0,5.417999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
