method,scenario,n,CumulativeUtility_mean,AverageSlateUtility_mean,ClickRate_mean,LeaveRate_mean,AverageSessionLength_mean,SlateDiversity_mean,CategoryCoverage_mean,InstructionUplift@1_mean,InstructionUplift@H_mean,OverCorrectionRegret@1_mean,OverCorrectionRegret@H_mean,DuringHorizonUtility_mean,PostExpiryRecoveryUtility_mean,PostExpirySuppressionRegret_mean,ExpiredConstraintViolationRate_mean,DriftRecoveryTurns_mean,RollbackAccuracy_mean,MemoryContaminationRate_mean,PromotionPrecision_mean,PromotionRecall_mean,ScopeClassificationAccuracy_mean,parser_scope_error_mean,memory_update_error_mean,policy_application_error_mean,candidate_coverage_error_mean
critiquescope,behavioral_rollback,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
critiquescope,diversity_request,15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
critiquescope,genuine_drift,15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
critiquescope,mixed_multi_turn,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
critiquescope,session_context,15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
critiquescope,stable_dislike,15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
critiquescope,temporary_fatigue,15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
flat,temporary_fatigue,5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
